Date,Open,High,Low,Close,Volume
20151008,10.85,10.89,10.7,10.7,494070.85
20151009,10.75,10.95,10.72,10.9,474612.06
20151012,10.96,11.38,10.91,11.23,849665.15
20151013,11.2,11.26,11.09,11.13,359798.19
20151014,11.04,11.15,10.94,10.98,418980.65
20151015,10.95,11.17,10.94,11.17,485900.5
20151016,11.21,11.3,11.16,11.23,570001.45
20151019,11.27,11.35,11.15,11.26,723371.53
20151020,11.2,11.38,11.19,11.32,715163.28
20151021,11.29,11.75,11.18,11.22,1332629.04
20151022,11.25,11.4,11.18,11.33,822805.73
20151023,11.39,11.53,11.34,11.47,937425.11
20151026,11.6,11.81,11.44,11.52,1085917.54
20151027,11.5,11.64,11.34,11.48,580436.37
20151028,11.46,11.48,11.25,11.27,544811.17
20151029,11.3,11.36,11.25,11.27,316703.68
20151030,11.3,11.42,11.27,11.36,535930.72
20151102,11.27,11.32,11.1,11.14,484435.81
20151103,11.15,11.21,11.01,11.05,391265.18
20151104,11.08,11.7,11.05,11.69,1307244.19
20151105,11.6,12.57,11.55,12.07,2292189.8
20151106,12.02,12.41,11.92,12.39,1463194.95
20151109,12.5,13.38,12.46,12.94,2413887.79
20151110,12.8,13.07,12.61,12.75,1125027.63
20151111,12.7,12.78,12.38,12.55,1021735.07
20151112,12.6,12.65,12.28,12.4,671139.62
20151113,12.22,12.48,12.19,12.24,587555.04
20151116,12.13,12.39,12.09,12.34,559848.71
20151117,12.41,12.7,12.36,12.5,1046486.56
20151118,12.46,12.7,12.31,12.42,793704.76
20151119,12.4,12.51,12.33,12.5,471120.67
20151120,12.5,12.59,12.42,12.55,598036.34
20151123,12.55,12.6,12.38,12.45,607975.31
20151124,12.41,12.45,12.16,12.28,664214.78
20151125,12.21,12.37,12.17,12.32,513462.72
20151126,12.36,12.38,12.2,12.23,552210.15
20151127,12.18,12.2,11.53,11.73,728025.94
20151130,11.72,11.87,11.5,11.74,658493.89
20151201,11.7,11.86,11.51,11.75,680253.9
20151202,11.7,12.64,11.66,12.51,1615760.86
20151203,12.39,12.75,12.25,12.45,1425976.78
20151204,12.31,12.38,12.08,12.12,764532.45
20151207,12.18,12.25,12.04,12.15,402792.65
20151208,12.07,12.09,11.9,11.96,503101.79
20151209,11.92,12.12,11.9,11.99,429384.35
20151210,11.95,12.14,11.91,11.96,417603.58
20151211,11.91,11.92,11.73,11.83,379508.03
20151214,11.73,12.11,11.71,12.07,587236.64
20151215,12.03,12.09,11.86,11.92,364487.35
20151216,11.98,12.01,11.88,11.89,392762.82
20151217,11.97,12.14,11.96,12.07,648274.75
20151218,12.03,12.55,12.02,12.23,1022944.74
20151221,12.14,12.72,12.11,12.51,1281142.13
20151222,12.5,12.62,12.38,12.43,698091.45
20151223,12.47,12.78,12.4,12.48,1039018.23
